n_neurons_pre,n_neurons,recon_error,spatial_compactness,trace_sparsity,stability,composite_score,gSig,gSig_filt,min_corr,min_pnr,rf,p,stride,runtime_s
16,4,0.9980311317813232,0.9347048160821837,3.8409651723468996,0.0,-0.002203520814400414,4,2,0.7508609501227463,8,40,1,20,456.7
19,1,0.9996615157354581,1.0,4.675026464444781,0.0,-0.019790936563362352,3,2,0.4642900680648734,9,25,2,12,246.4
13,8,0.9975567419371628,0.930749973864779,3.9322292674387693,0.0,-0.008721851401892867,5,1,0.846495201681048,9,60,1,30,488.9
86,15,0.99904072363727,0.9667120958279495,3.9842822279606356,0.0,0.005201090995005812,2,3,0.5799374372718651,3,80,1,40,784.4
6,0,1.0,0.0,inf,0.0,-inf,2,3,0.5721078960702233,12,40,2,20,72.3
29,3,0.99932309635516,0.8269306607815925,3.3647049005306933,0.0,-0.02653664595463254,3,2,0.5043425039613275,7,25,1,12,426.7
141,48,0.9977585582303413,0.9164936794065567,4.283218977327924,0.0,-0.03498056825429348,2,1,0.4,3,25,2,12,813.6
61,21,0.9910483617378505,0.9204714817667368,4.208225105244755,0.0,-0.022793316484757433,5,4,0.85,3,80,2,40,797.7
2,0,1.0,0.0,inf,0.0,-inf,2,1,0.85,12,60,2,30,75.8
114,40,0.9973402288286479,0.9563463169503269,4.261090212253084,0.0,-0.013554979274827794,2,3,0.47547703793604307,3,80,1,40,830.1
